Name,Mile,FIPS
Monroe,0,12087
Sebring,320,12055
Yemassee,720,45049
Yemassee,720,45029
Yemassee,720,45013
Yemassee,720,45053
Dublin,1070,51155
Dublin,1070,51021
Dublin,1070,51071
Dublin,1070,51121
Dublin,1070,51063
Dublin,1070,51035
Dublin,1070,51197
Pine Grove,1440,42107
Middlesex,1800,25017
